,Ismaning/München (Hauptsitz),Berlin,Braunschweig,Bretten,Chemnitz,Düsseldorf,Essen,Frankfurt,Görlitz,Hamburg,Hannover,Ingolstadt,Köln/Hürth,Lingen (Ems),Münster,Nürnberg,Passau,Schortens/Wilhelmshaven,St. Georgen,Stuttgart,Walldorf
Ismaning/München (Hauptsitz),0,119656,112281,55932,81474,120927,127151,74406,118719,140069,111378,15060,111445,137765,127242,32746,30550,149982,62390,45606,60419
Berlin,119656,0,44283,124878,48845,108156,102701,105265,45350,53633,51765,114594,114300,85619,86866,97472,121436,82767,152534,130647,122313
Braunschweig,112281,44283,0,94396,57038,64108,58653,68223,73975,31019,11706,98228,70252,48626,43311,81106,127234,48013,123414,104642,86589
Bretten,55932,124878,94396,0,92341,67737,73961,31723,129278,121514,92132,47714,58255,99327,88084,43987,80773,124310,31458,14424,7376
Chemnitz,81474,48845,57038,92341,0,108679,104250,83866,36885,81158,66795,70003,108489,97280,91697,56896,81528,104401,118266,94514,89011
Düsseldorf,120927,108156,64108,67737,108679,0,7048,51098,138465,72496,54394,110521,10310,32064,22227,95712,142042,57047,96264,82021,61472
Essen,127151,102701,58653,73961,104250,7048,0,57018,132326,66358,48256,116441,16230,28242,16089,101631,147961,51911,102184,87940,67392
Frankfurt,74406,105265,68223,31723,83866,51098,57018,0,120542,94460,65078,62922,40797,68409,55820,48854,95184,89906,57825,41864,20667
Görlitz,118719,45350,73975,129278,36885,138465,132326,120542,0,94455,84400,106869,143479,121320,116538,93762,118394,120073,155132,131380,125876
Hamburg,140069,53633,31019,121514,81158,72496,66358,94460,94455,0,29452,129089,83664,45184,51175,111967,158095,32747,149920,134051,113096
Hannover,111378,51765,11706,92132,66795,54394,48256,65078,84400,29452,0,96941,62157,37035,34192,79819,125947,39408,121631,104364,84806
Ingolstadt,15060,114594,98228,47714,70003,110521,116441,62922,106869,129089,96941,0,98186,123002,112479,17983,34199,135219,59001,40440,49934
Köln/Hürth,111445,114300,70252,58255,108489,10310,16230,40797,143479,83664,62157,98186,0,41817,30675,85918,132247,66800,86470,72226,51678
Lingen (Ems),137765,85619,48626,99327,97280,32064,28242,68409,121320,45184,37035,123002,41817,0,13640,106475,152603,26085,127809,113565,93017
Münster,127242,86866,43311,88084,91697,22227,16089,55820,116538,51175,34192,112479,30675,13640,0,95322,141450,37786,116181,101937,81389
Nürnberg,32746,97472,81106,43987,56896,95712,101631,48854,93762,111967,79819,17983,85918,106475,95322,0,46464,117627,64349,41666,43098
Passau,30550,121436,127234,80773,81528,142042,147961,95184,118394,158095,125947,34199,132247,152603,141450,46464,0,163708,92103,72175,83552
Schortens/Wilhelmshaven,149982,82767,48013,124310,104401,57047,51911,89906,120073,32747,39408,135219,66800,26085,37786,117627,163708,0,153796,139552,119004
St. Georgen,62390,152534,123414,31458,118266,96264,102184,57825,155132,149920,121631,59001,86470,127809,116181,64349,92103,153796,0,22621,33316
Stuttgart,45606,130647,104642,14424,94514,82021,87940,41864,131380,134051,104364,40440,72226,113565,101937,41666,72175,139552,22621,0,19267
Walldorf,60419,122313,86589,7376,89011,61472,67392,20667,125876,113096,84806,49934,51678,93017,81389,43098,83552,119004,33316,19267,0
